timestamp,trade_volume,best_ask,best_bid,ask_size,bid_size
2016-01-04 10:00:00,2000.0,719.0,718.0,12000.0,27000.0
2016-01-04 10:01:00,0.0,719.0,718.0,6000.0,42000.0
2016-01-04 10:02:00,2000.0,719.0,718.0,4000.0,42000.0
2016-01-04 10:03:00,9000.0,720.0,719.0,9000.0,12000.0
2016-01-04 10:04:00,0.0,720.0,719.0,6000.0,12000.0
2016-01-04 10:05:00,11000.0,721.0,720.0,13000.0,11000.0
2016-01-04 10:06:00,0.0,721.0,720.0,11000.0,19000.0
2016-01-04 10:07:00,13000.0,722.0,721.0,8000.0,8000.0
2016-01-04 10:08:00,4000.0,722.0,721.0,4000.0,10000.0
2016-01-04 10:09:00,0.0,722.0,721.0,13000.0,6000.0
2016-01-04 10:10:00,4000.0,722.0,720.0,25000.0,47000.0
2016-01-04 10:11:00,4000.0,722.0,721.0,24000.0,3000.0
2016-01-04 10:12:00,1000.0,722.0,721.0,13000.0,16000.0
2016-01-04 10:13:00,0.0,722.0,721.0,26000.0,13000.0
2016-01-04 10:14:00,13000.0,721.0,720.0,15000.0,10000.0
2016-01-04 10:15:00,4000.0,721.0,720.0,12000.0,13000.0
2016-01-04 10:16:00,4000.0,721.0,719.0,31000.0,49000.0
2016-01-04 10:17:00,0.0,721.0,719.0,31000.0,50000.0
2016-01-04 10:18:00,2000.0,720.0,719.0,5000.0,39000.0
2016-01-04 10:19:00,13000.0,719.0,718.0,9000.0,34000.0
2016-01-04 10:20:00,0.0,719.0,718.0,25000.0,15000.0
2016-01-04 10:21:00,11000.0,720.0,718.0,32000.0,34000.0
2016-01-04 10:22:00,4000.0,720.0,718.0,25000.0,50000.0
2016-01-04 10:23:00,0.0,720.0,718.0,31000.0,47000.0
2016-01-04 10:24:00,1000.0,719.0,718.0,10000.0,28000.0
2016-01-04 10:25:00,0.0,720.0,718.0,33000.0,49000.0
2016-01-04 10:26:00,4000.0,719.0,718.0,12000.0,31000.0
2016-01-04 10:27:00,5000.0,719.0,718.0,9000.0,30000.0
2016-01-04 10:28:00,2000.0,719.0,718.0,4000.0,40000.0
2016-01-04 10:29:00,2000.0,719.0,718.0,20000.0,32000.0
2016-01-04 10:30:00,30000.0,718.0,717.0,11000.0,43000.0
2016-01-04 10:31:00,0.0,718.0,717.0,9000.0,46000.0
2016-01-04 10:32:00,4000.0,718.0,717.0,18000.0,36000.0
2016-01-04 10:33:00,41000.0,717.0,716.0,41000.0,49000.0
2016-01-04 10:34:00,99000.0,715.0,714.0,15000.0,18000.0
2016-01-04 10:35:00,5000.0,715.0,714.0,32000.0,39000.0
2016-01-04 10:36:00,34000.0,716.0,714.0,56000.0,51000.0
2016-01-04 10:37:00,3000.0,716.0,714.0,92000.0,42000.0
2016-01-04 10:38:00,9000.0,715.0,714.0,19000.0,44000.0
2016-01-04 10:39:00,37000.0,714.0,713.0,27000.0,37000.0
2016-01-04 10:40:00,2000.0,714.0,713.0,40000.0,42000.0
2016-01-04 10:41:00,27000.0,715.0,714.0,15000.0,22000.0
2016-01-04 10:42:00,3000.0,715.0,714.0,22000.0,16000.0
2016-01-04 10:43:00,0.0,715.0,714.0,25000.0,17000.0
2016-01-04 10:44:00,0.0,715.0,714.0,26000.0,18000.0
2016-01-04 10:45:00,15000.0,714.0,713.0,29000.0,37000.0
2016-01-04 10:46:00,12000.0,715.0,713.0,57000.0,54000.0
2016-01-04 10:47:00,1000.0,714.0,713.0,6000.0,57000.0
2016-01-04 10:48:00,3000.0,714.0,713.0,8000.0,48000.0
2016-01-04 10:49:00,82000.0,714.0,713.0,17000.0,13000.0
2016-01-04 10:50:00,23000.0,713.0,712.0,4000.0,62000.0
2016-01-04 10:51:00,1000.0,713.0,712.0,16000.0,41000.0
2016-01-04 10:52:00,0.0,713.0,712.0,20000.0,43000.0
2016-01-04 10:53:00,49000.0,712.0,711.0,3000.0,50000.0
2016-01-04 10:54:00,0.0,712.0,711.0,8000.0,47000.0
2016-01-04 10:55:00,2000.0,712.0,711.0,16000.0,41000.0
2016-01-04 10:56:00,13000.0,713.0,711.0,37000.0,60000.0
2016-01-04 10:57:00,8000.0,712.0,711.0,15000.0,39000.0
2016-01-04 10:58:00,31000.0,711.0,710.0,8000.0,45000.0
2016-01-04 10:59:00,1000.0,711.0,710.0,17000.0,46000.0
2016-01-04 11:00:00,29000.0,711.0,710.0,18000.0,23000.0
2016-01-04 11:01:00,75000.0,710.0,708.0,34000.0,101000.0
2016-01-04 11:02:00,7000.0,710.0,709.0,15000.0,8000.0
2016-01-04 11:03:00,12000.0,711.0,709.0,31000.0,41000.0
2016-01-04 11:04:00,8000.0,709.0,708.0,1000.0,89000.0
2016-01-04 11:05:00,1000.0,709.0,708.0,4000.0,87000.0
2016-01-04 11:06:00,50000.0,710.0,709.0,12000.0,24000.0
2016-01-04 11:07:00,2000.0,711.0,709.0,40000.0,41000.0
2016-01-04 11:08:00,3000.0,711.0,710.0,43000.0,8000.0
2016-01-04 11:09:00,24000.0,711.0,710.0,20000.0,6000.0
2016-01-04 11:10:00,39000.0,710.0,709.0,20000.0,1000.0
2016-01-04 11:11:00,13000.0,711.0,709.0,32000.0,44000.0
2016-01-04 11:12:00,1000.0,711.0,709.0,31000.0,36000.0
2016-01-04 11:13:00,2000.0,711.0,710.0,10000.0,39000.0
2016-01-04 11:14:00,46000.0,710.0,709.0,11000.0,12000.0
2016-01-04 11:15:00,5000.0,709.0,708.0,6000.0,96000.0
2016-01-04 11:16:00,7000.0,710.0,709.0,24000.0,2000.0
2016-01-04 11:17:00,10000.0,710.0,709.0,16000.0,8000.0
2016-01-04 11:18:00,0.0,710.0,709.0,12000.0,23000.0
2016-01-04 11:19:00,17000.0,710.0,709.0,11000.0,34000.0
2016-01-04 11:20:00,21000.0,710.0,708.0,31000.0,102000.0
2016-01-04 11:21:00,0.0,710.0,709.0,11000.0,19000.0
2016-01-04 11:22:00,4000.0,709.0,708.0,26000.0,54000.0
2016-01-04 11:23:00,1000.0,709.0,708.0,16000.0,65000.0
2016-01-04 11:24:00,1000.0,709.0,708.0,6000.0,75000.0
2016-01-04 11:25:00,15000.0,709.0,708.0,6000.0,71000.0
2016-01-04 11:26:00,57000.0,709.0,708.0,30000.0,2000.0
2016-01-04 11:27:00,10000.0,708.0,707.0,2000.0,25000.0
2016-01-04 11:28:00,43000.0,708.0,707.0,25000.0,2000.0
2016-01-04 11:29:00,32000.0,709.0,707.0,15000.0,8000.0
2016-01-04 11:30:00,4000.0,709.0,707.0,14000.0,8000.0
2016-01-04 13:00:00,13000.0,710.0,709.0,6000.0,33000.0
2016-01-04 13:01:00,8000.0,711.0,710.0,59000.0,1000.0
2016-01-04 13:02:00,29000.0,710.0,709.0,3000.0,49000.0
2016-01-04 13:03:00,10000.0,710.0,709.0,26000.0,48000.0
2016-01-04 13:04:00,3000.0,710.0,709.0,12000.0,48000.0
2016-01-04 13:05:00,2000.0,710.0,709.0,1000.0,54000.0
2016-01-04 13:06:00,3000.0,710.0,709.0,35000.0,11000.0
2016-01-04 13:07:00,42000.0,710.0,709.0,34000.0,21000.0
2016-01-04 13:08:00,0.0,710.0,709.0,57000.0,3000.0
2016-01-04 13:09:00,12000.0,710.0,709.0,52000.0,1000.0
2016-01-04 13:10:00,1000.0,710.0,708.0,57000.0,111000.0
2016-01-04 13:11:00,13000.0,709.0,708.0,2000.0,101000.0
2016-01-04 13:12:00,2000.0,709.0,708.0,11000.0,90000.0
2016-01-04 13:13:00,3000.0,709.0,708.0,4000.0,101000.0
2016-01-04 13:14:00,14000.0,710.0,709.0,49000.0,8000.0
2016-01-04 13:15:00,5000.0,709.0,708.0,31000.0,96000.0
2016-01-04 13:16:00,77000.0,708.0,707.0,11000.0,54000.0
2016-01-04 13:17:00,1000.0,708.0,707.0,10000.0,50000.0
2016-01-04 13:18:00,2000.0,708.0,707.0,14000.0,46000.0
2016-01-04 13:19:00,6000.0,708.0,707.0,13000.0,55000.0
